,uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,wpeakf,leak,offset,stdev,delay,thresh,threshind,fthresh,wthresh,slope,inv_slope,g,i,workres
71,20191217-5-scan-80,20191217,mtrek1,5,scan-80,4,40,0.63,0.04,314,7.369,50,19.29,0.1789,-0.194062277,-0.192223592,542.8171471,658.16,98.59456324,649.165,115.8175434,747.805,107.2283195,2125.553044,12.26101564,22.92022729,8.995,126.8621521,4410,46.02356212,51.95278056,4.95,0.202020202,9.00E-11,-3.582699877,0.723777753
72,20191017-4-scan-80,20191017,osca12,4,scan-80,9,40,4.88,0.5,327,9.8,40,22.34,0.111216311,-79.99620684,-79.99568468,127.4437875,652.52,367.728242,649.805,480.5615978,750.085,472.3633625,-719.2848442,-2.118529755,6.28488144,2.715,33.54293695,4924,337.9796977,433.4531336,0.55,1.818181818,,,
73,20191017-5-scan-80,20191017,osca12,5,scan-80,23,40,4.88,0.5,326,4.7,45,23.58,0.215228102,-79.99469624,-79.99422104,44.74476973,819.12,575.190395,650.205,533.209838,740.005,511.9397958,-371.6740311,3.906574885,8.070257769,168.915,44.25786373,9227,52.35955244,309.3581833,-0.007,-142.8571429,,,
74,20191120-2-scan-80,20191120,osca12,2,scan-80,8,40,4.48,0.26,351,8.541,50,13.38,0.448863923,-80.00961475,-80.00855237,457.29735,670.8,424.1252607,650.165,288.5361079,711.685,277.6966531,-178.2491543,-6.123145649,7.640053876,20.635,44.32341503,4841,236.1080375,211.399841,5.026,0.19896538,,,
75,20191120-3-scan-80,20191120,osca12,3,scan-80,6,40,4.48,0.26,331,8.668,50,15.72,2.008989954,-80.0077046,-80.00598986,540.223058,652.16,522.9506131,650.205,410.0968838,742.845,386.6933704,-39.82484056,-5.128162807,4.196646163,1.955,26.11139362,4828,347.8760766,284.7672301,4.523,0.221092195,,,
76,20191218-4-scan-80,20191218,osca12,4,scan-80,17,40,0.73,0.04,318,6.246,50,20.86,5.524678649,-80.02050079,-80.01864527,23.4523518,530.96,564.4242976,650.365,352.7330779,713.965,314.3548065,-14.484191,-1.852627299,3.65895111,-119.405,20.14738285,2023,3.423544361,1.918133956,-0.012,-83.33333333,,,
77,20191218-5-scan-80,20191218,osca12,5,scan-80,18,40,0.73,0.04,314,10.87,50,18.93,3.76761992,-80.02073806,-80.01816073,36.32198105,804,540.6618031,650.605,382.6249544,742.845,328.6141537,-21.23906863,-1.843932455,2.981542193,153.395,16.75164342,8830,-18.28548337,358.5423948,0.039,25.64102564,,,
78,20191218-6-scan-80,20191218,osca12,6,scan-80,3,40,0.73,0.04,310,112.8,50,18.45,0.210383181,-80.01951458,-80.01793593,57.20017614,648.6,189.4221448,650.285,175.2815097,743.005,164.2589408,-380.3512912,-21.4910957,10.71399271,-1.685,75.06105926,0,,,0.16,6.25,,,
79,20200122-5-scan-80,20200122,pkd2l1,5,scan-80,4,40,9.52,0.57,0,7.244,35,25.31,0.435847338,-80.00303568,-80.00133678,115.185003,663.28,1058.731507,650.045,899.7272727,786.525,801.6976352,-183.5574722,-1.042090337,4.27804598,13.235,22.43232023,4857,678.6543915,646.1031168,0.392,2.551020408,,,
80,20200122-6-scan-80,20200122,pkd2l1,6,scan-80,7,40,9.52,0.57,0,5.555,50,20.14,0.938450149,-79.99691845,-79.9944833,383.6195179,656.88,1318.042441,650.005,1465.702517,746.805,1386.619944,-85.24365256,4.333322351,3.656705134,6.875,22.61684802,4474,637.5427906,631.8220772,0.622,1.607717042,,,
