,uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,leak,offset,stdev,delay,thresh,threshind,fthresh,wthresh,slope
74,20191119-11-scan-80,20191119,tmem63a,11,scan-80,18,40,7.01,0.41,347,6.841,5,23.43,0.411377385,-80.00952723,-80.006854,237.6222967,681.44,1663.633446,650.205,1069.91622,730.405,-194.4917978,2.363598016,4.138286963,31.235,23.05503283,4896,1361.545018,804.7765805,0.311
75,20191119-6-scan-80,20191119,tmem63a,6,scan-80,31,40,7.01,0.41,329,6.409,45,20.17,0.727469914,-80.00689323,-80.00500575,155.8261348,707.92,1713.33733,650.245,1236.718803,732.605,-109.9796592,-5.663458308,7.286518067,57.675,42.09604865,4929,1462.311966,987.8129731,2.256
76,20191119-4-scan-80,20191119,tmem63a,4,scan-80,9,40,7.01,0.41,330,10.77,40,14.11,0.245298406,-80.00614419,-80.00395677,377.0113093,667.48,582.5127513,650.125,583.188081,740.805,-326.1584354,9.001463788,8.013039411,17.355,49.06666084,4935,499.1156904,524.9221987,0.059
77,20191017-6-scan-80,20191017,tmem63a,6,scan-80,35,40,4.88,0.5,0,6.2,40,21.85,0.306046964,-79.99925288,-79.99838212,81.65851396,472.48,615.2132154,649.845,623.2890439,746.365,-261.3953491,-11.72096666,14.3932466,-177.365,83.68719966,0,,,-0.007
78,20191017-1-scan-80,20191017,tmem63a,1,scan-80,6,40,4.88,0.5,327,7.59,40,19.74,0.285953353,-79.99231167,-79.99067694,38.43260408,869.08,311.807621,650.085,373.0422537,700.365,-279.7390234,8.461490252,6.599965091,218.995,41.46131571,0,,,0.005
79,20191007-2-scan-80,20191007,tmem63b,2,scan-80,9,40,3.92,0.5,325,8,50,21.35,1.131047492,-80.01153727,-80.00944399,37.63117521,451.64,881.9466677,650.165,845.0088229,817.085,-70.74109429,-17.3734407,7.704758656,-198.525,55.89723398,0,,,-0.002
80,20191008-3-scan-80,20191008,tmem63b,3,scan-80,9,40,5.25,0.5,323,10,40,25.66,0.448635763,-80.00372229,-80.00114947,25.26803624,785.4,1186.225437,649.965,1610.448254,741.365,-178.3266714,4.025310692,5.345881963,135.435,30.75472051,0,,,0.004
81,20191008-4-scan-80,20191008,tmem63b,4,scan-80,8,40,5.25,0.5,321,8,40,21.14,0.175750738,-79.99846641,-79.99796999,39.18115416,905.44,1274.877835,650.205,993.5105973,918.125,-455.1813967,1.252193671,7.050086308,255.235,36.50262521,11383,-15.5525729,993.495428,0.327
82,20191216-2-scan-80,20191216,trpa1,2,scan-80,11,40,7.62,0.44,326,13.82,20,22.99,0.968566187,-80.02123744,-80.01945194,138.7511789,660.04,1095.54087,650.325,802.1981735,733.165,-82.61824386,-8.372667535,6.796449278,9.715,42.35491392,4980,1039.390948,716.0752434,-0.021
83,20191216-3-scan-80,20191216,trpa1,3,scan-80,12,40,7.62,0.44,334,5.877,40,29.59,1.515029845,-80.02367176,-80.02198459,38.94521434,816.04,870.9570636,650.005,779.1317419,743.045,-52.8198649,2.500490004,6.911521538,166.035,37.05809769,9149,55.01980905,593.7931221,1.074
